σY,exp_action,expected_cost
"[374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004]",no_action,0.0
"[374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.22190731506004, 374.8292962752974]",no_action,0.0
"[374.8292962752974, 374.8292962752974, 374.8292962752974, 374.8292962752974, 374.8292962752974, 374.8292962752974, 374.8292962752974]",no_action,0.0
"[374.8292962752974, 374.8292962752974, 374.8292962752974, 370.8166885684491, 370.8166885684491, 370.8166885684491, 370.8166885684491]",no_action,0.0
"[370.8166885684491, 370.8166885684491, 370.8166885684491, 376.6428382595882, 376.6428382595882, 367.8210241883505, 365.4340233755081]",no_action,0.0
"[365.4340233755081, 387.462020914653, 387.462020914653, 371.02010344953885, 359.1436150106665, 328.1081304330752, 341.90737526080414]",no_action,0.0
"[341.90737526080414, 335.2062907640703, 335.73880203784404, 331.5553162559149, 363.90857816131756, 357.3114970224075, 357.3114970224075]",no_action,0.0
"[357.3114970224075, 357.3114970224075, 375.6220950579162, 352.67079380488843, 375.61360360064657, 370.3294812693357, 370.3294812693357]",no_action,0.0
"[370.3294812693357, 386.1050382656945, 383.66369115717214, 374.6309675225144, 377.93185060811993, 351.2891823013452, 366.174245340129]",no_action,0.0
"[366.174245340129, 370.0452282065339, 370.0452282065339, 370.0452282065339, 370.0452282065339, 370.0452282065339, 365.198660028996]",no_action,0.0
"[365.198660028996, 375.06001151941086, 371.2911598772149, 346.24738610988936, 333.18179217418293, 336.11434483914826, 330.90961920997427]",no_action,0.0
"[330.90961920997427, 330.90961920997427, 353.56686292648715, 354.3059536369964, 360.909779816379, 360.909779816379, 365.31921503210697]",no_action,100.0
"[365.31921503210697, 365.31921503210697, 365.31921503210697, 345.78646946907713, 345.78646946907713, 358.99858008053485, 358.99858008053485]",no_action,0.0
"[358.99858008053485, 358.99858008053485, 358.99858008053485, 349.0353508452955, 349.0353508452955, 349.0353508452955, 349.0353508452955]",no_action,0.0
"[349.0353508452955, 349.0353508452955, 349.0353508452955, 349.0353508452955, 349.0353508452955, 349.0353508452955, 349.0353508452955]",no_action,0.0
"[349.0353508452955, 349.0353508452955, 355.3785029093765, 350.4011245042468, 350.4011245042468, 350.4011245042468, 358.3837445006314]",no_action,0.0
"[358.3837445006314, 345.11404315053153, 333.2481369309131, 320.37665852117357, 314.52890222817473, 334.78360233533783, 332.57979835761284]",no_action,400.0
"[332.57979835761284, 353.20155192370294, 344.4787226012428, 341.07802678930796, 336.6929526731904, 336.6929526731904, 336.6929526731904]",no_action,400.0
"[336.6929526731904, 336.6929526731904, 337.4477374635955, 337.4477374635955, 336.5283174127822, 332.79533293677963, 332.79533293677963]",no_action,100.0
"[332.79533293677963, 336.17809500526675, 336.17809500526675, 332.028678755647, 363.65695309494845, 363.65695309494845, 363.65695309494845]",no_action,200.0
"[363.65695309494845, 363.65695309494845, 365.79904630368685, 363.9898376265317, 378.34716433415866, 394.9045539965945, 392.7498182157202]",no_action,0.0
"[392.7498182157202, 414.2849703463984, 414.2849703463984, 414.2849703463984, 406.47321462222493, 395.888659402526, 364.525682941213]",no_action,0.0
"[364.525682941213, 322.199497529787, 346.9618594379218, 347.4801737590029, 360.4930607679279, 341.94719921111374, 351.62887922369214]",no_action,200.0
"[351.62887922369214, 367.7003894556933, 367.7003894556933, 353.2228381244804, 344.66687516659397, 365.4878632187271, 370.8946594843296]",no_action,0.0
"[370.8946594843296, 373.7633627017903, 350.11285725509964, 362.41495452149326, 325.27033325326846, 336.26975983668217, 336.0568226895482]",no_action,0.0
"[336.0568226895482, 337.0812187399845, 342.10132488655825, 348.97611675436565, 348.97611675436565, 373.43441803103434, 353.97589409103017]",no_action,200.0
"[353.97589409103017, 375.46803884020557, 388.04656559893544, 387.1576783975776, 394.0978522181142, 378.63911977550646, 371.45360006941036]",no_action,100.0
"[371.45360006941036, 304.7902019809798, 302.2621850957249, 321.0105774472371, 311.2085582675821, 321.8791253309159, 309.37477345993904]",increase_resistance,3200.0
"[309.37477345993904, 311.6971589812182, 356.5883705221392, 340.90198175683463, 384.24662597849584, 379.7680199679812, 395.83877964876416]",no_action,300.0
"[395.83877964876416, 401.29181176516744, 396.1347735163556, 389.2881629604265, 393.81066311646885, 384.13644923407946, 387.83969720836615]",no_action,0.0
